ts_code,trade_date,close,pe,pe_ttm,total_mv,circ_mv,pb,turnover_rate
603045.SH,20250808,17.85,52.9817,71.9099,241769.6017,241769.6017,2.5272,2.2091
301292.SZ,20250808,19.94,,,444254.7813,169729.1923,1.5635,4.7298
688110.SH,20250808,73.81,,,3264245.4638,3264245.4638,10.3505,12.6692
002005.SZ,20250808,2.7,,,473154.7117,473038.1527,24.2726,2.092
002151.SZ,20250808,30.58,,,1660368.9003,1354287.4083,3.2713,4.1026
300393.SZ,20250808,6.12,,,666851.9431,583889.914,2.0627,1.5054
300675.SZ,20250808,15.99,976.5903,,234520.0533,234520.0533,4.1276,6.0106
002859.SZ,20250808,25.68,54.738,60.6089,1106646.7784,1041607.651,3.9186,2.0399
000557.SZ,20250808,5.7,31.6064,34.0054,831273.599,831012.2329,1.3611,1.2695
688500.SH,20250808,86.3,,,648947.6073,632716.3033,8.7788,7.9055
002255.SZ,20250808,8.54,18.8091,17.4953,709572.421,544828.2955,1.6815,2.0679
002059.SZ,20250808,5.17,,,523428.7983,523428.7983,3.8116,0.9679
301006.SZ,20250808,17.18,30.2115,30.0372,239283.04,147895.9198,1.9488,4.4433
002793.SZ,20250808,5.79,,,629713.7334,628758.6486,4.5143,3.263
688025.SH,20250808,105.85,75.8262,70.6327,1006098.1425,1006098.1425,4.955,2.1346
873152.BJ,20250808,19.78,289.9663,251.8441,203043.0154,134961.3907,7.7993,3.9081
002830.SZ,20250808,17.96,58.8671,59.9971,239478.64,120067.09,3.7401,6.6162
601515.SH,20250808,4.3,,,806005.4508,806005.4508,1.5553,2.6476
002696.SZ,20250808,6.51,,,225481.8326,218394.1911,1.6863,2.798
002900.SZ,20250808,15.43,83.1936,442.1308,488139.6997,267062.5094,2.3594,8.2037
002741.SZ,20250808,19.22,,,893772.8798,819460.8736,4.8115,3.7283
603656.SH,20250808,19.39,165.6131,152.5807,355564.8192,355564.8192,2.7623,1.8928
600844.SH,20250808,3.37,,,342568.6689,277260.2237,17.7802,1.9682
600033.SH,20250808,3.5,12.3024,12.266,960540.0,960540.0,0.8109,0.493
688398.SH,20250808,20.8,45.2355,59.9201,349053.1138,349053.1138,3.4424,3.4581
300498.SZ,20250808,17.7,12.7594,9.4463,11777450.4024,10553991.1617,2.8769,0.6393
601168.SH,20250808,17.59,14.2986,13.1804,4191697.0,4191697.0,2.5252,1.5699
301388.SZ,20250808,31.88,213.2586,216.0104,326602.9488,87212.8025,3.3941,13.0512
688133.SH,20250808,27.9,355.8382,291.9415,458779.1658,458779.1658,1.6492,3.1516
002648.SZ,20250808,19.02,10.5523,9.6819,6407164.1024,6403049.6865,2.1257,1.0204
873576.BJ,20250808,32.48,58.2858,67.6358,353869.6,347958.0354,8.132,1.1296
603151.SH,20250808,24.36,82.4004,71.4699,413071.7186,200730.4706,3.2555,3.0951
002785.SZ,20250808,29.68,,,672607.2548,574293.2283,7.5484,2.8819
300209.SZ,20250808,5.25,85.8944,81.3736,487533.9662,257259.7335,5.2828,1.6416
600037.SH,20250808,8.87,,,1234506.9831,1234506.9831,0.9715,2.0579
688620.SH,20250808,13.22,,,518224.0,307125.0834,3.654,7.2392
688683.SH,20250808,27.74,115.2318,108.4869,430463.575,430463.575,4.2895,1.3683
600283.SH,20250808,9.99,26.0294,23.4671,560264.0731,543623.0218,1.8827,0.8683
600063.SH,20250808,5.25,29.8857,25.0982,1104924.5702,1011094.7133,1.3277,1.1401
002961.SZ,20250808,21.21,24.6707,24.1226,943920.8512,943916.079,3.4041,1.1921
002670.SZ,20250808,15.05,173.959,135.5837,2912302.4028,2443142.7042,2.6154,2.0283
839946.BJ,20250808,9.96,,,134450.4812,108128.8098,5.9425,3.2868
688076.SH,20250808,46.48,36.3265,29.9382,1469009.2173,1469009.2173,5.2536,3.0008
