ts_code,pb
600829.SH,1.6602
600830.SH,2.26
600831.SH,1.6655
600833.SH,2.6166
600834.SH,2.5064
600835.SH,1.9602
600838.SH,2.2995
600839.SH,3.0689
600841.SH,2.9276
600843.SH,2.7578
600844.SH,17.7802
600845.SH,5.9749
600847.SH,3.3245
600846.SH,1.5454
600850.SH,3.7199
600848.SH,1.214
600851.SH,1.991
600853.SH,1.2637
600857.SH,3.4853
600854.SH,1.2114
600855.SH,4.9072
600858.SH,1.0949
600860.SH,6.6181
600859.SH,0.8051
600861.SH,1.7881
600864.SH,1.1204
600865.SH,1.4851
600863.SH,1.693
600862.SH,5.1678
600866.SH,1.6981
600868.SH,2.6698
600869.SH,3.0179
600867.SH,2.7476
600871.SH,4.3003
600872.SH,2.7023
600873.SH,2.2119
600875.SH,1.5602
600876.SH,1.8165
600874.SH,0.9709
600877.SH,6.0745
600879.SH,1.8174
600882.SH,3.1008
600883.SH,2.09
600880.SH,1.8552
600881.SH,2.7675
600885.SH,3.7475
600884.SH,1.1576
600886.SH,1.9635
600887.SH,3.4806
600888.SH,0.974
600893.SH,2.7822
600892.SH,25.2447
600889.SH,15.1604
600894.SH,1.0788
600895.SH,4.0728
600897.SH,1.3924
600906.SH,2.0364
600905.SH,1.3852
600900.SH,3.4449
600903.SH,2.6776
600901.SH,1.4792
600908.SH,0.6365
600909.SH,1.298
600916.SH,1.9764
600925.SH,2.2417
600918.SH,1.2634
600927.SH,1.7487
600917.SH,1.6417
600919.SH,0.9038
600926.SH,0.9619
600928.SH,0.5213
600929.SH,1.1526
600930.SH,2.5184
600933.SH,2.2151
600935.SH,1.4912
600938.SH,1.6499
600939.SH,0.8868
600936.SH,13.9973
600941.SH,1.7049
600955.SH,0.9319
600956.SH,1.5081
600959.SH,0.8016
600958.SH,1.2677
600960.SH,1.3
600961.SH,4.1665
600963.SH,1.0661
600962.SH,5.6587
600965.SH,2.0032
600966.SH,0.9981
600968.SH,1.5786
600967.SH,3.4026
600970.SH,1.177
600969.SH,0.7838
600973.SH,2.1554
600971.SH,0.6981
600975.SH,2.7076
600977.SH,2.3728
600976.SH,2.6412
600979.SH,1.3888
600980.SH,3.0383
600981.SH,1.3529
600982.SH,1.2572
600983.SH,3.3943
600984.SH,1.0463
600985.SH,0.8435
600986.SH,2.476
600989.SH,2.6137
600988.SH,4.6474
600987.SH,1.2149
600992.SH,2.666
600990.SH,4.246
600996.SH,3.6702
600993.SH,3.0049
600995.SH,1.4902
600999.SH,1.3847
600997.SH,0.7186
600998.SH,1.0596
601000.SH,1.2081
601001.SH,1.3281
601002.SH,1.2662
601003.SH,1.8164
601005.SH,0.8316
601006.SH,0.8121
601007.SH,1.9199
601008.SH,1.8492
601009.SH,0.885
601011.SH,0.9253
601010.SH,1.115
601012.SH,2.0362
601015.SH,1.2354
601016.SH,1.145
601019.SH,1.3092
601020.SH,5.1007
601018.SH,0.9238
601022.SH,2.1526
601021.SH,3.0307
601033.SH,1.3574
601059.SH,2.9916
601038.SH,2.0236
601065.SH,1.2734
601061.SH,1.8611
601058.SH,2.1838
601068.SH,5.3736
601066.SH,2.539
601069.SH,3.9576
601083.SH,1.8344
601089.SH,4.1307
601077.SH,0.6195
601096.SH,2.6894
601086.SH,4.5893
601088.SH,1.9223
601098.SH,1.5396
601099.SH,2.7845
601100.SH,6.7716
601108.SH,1.0647
601101.SH,0.9426
601107.SH,1.0716
601106.SH,3.8871
601113.SH,1.1668
601111.SH,2.9567
601117.SH,0.7943
601121.SH,1.7842
601116.SH,1.8599
601118.SH,2.1666
601127.SH,9.6069
601133.SH,2.4251
601126.SH,3.415
601128.SH,0.8873
601136.SH,4.0824
601138.SH,5.0301
601137.SH,1.8459
601156.SH,1.3035
601155.SH,0.59
601139.SH,1.2603
601162.SH,1.8193
601158.SH,1.3584
601163.SH,0.8523
601168.SH,2.5252
601166.SH,0.6329
