ts_code,roe
300500.SZ,1.4813
300501.SZ,0.9861
300502.SZ,17.2271
300503.SZ,5.1653
300505.SZ,2.7935
300506.SZ,-18.8834
300508.SZ,3.7422
300507.SZ,1.3636
300509.SZ,3.5572
300504.SZ,-1.0765
300511.SZ,0.6831
300510.SZ,-0.2433
600081.SH,0.7798
600079.SH,3.0222
600080.SH,0.0778
600082.SH,-0.775
600085.SH,4.3174
600088.SH,-0.7061
600084.SH,0.1432
600089.SH,2.3381
600096.SH,5.6032
600094.SH,0.0382
600097.SH,0.5728
600098.SH,1.7026
600095.SH,0.4152
600099.SH,0.6618
600100.SH,-1.7391
600101.SH,2.402
600103.SH,0.7777
600104.SH,1.0427
600106.SH,1.0829
600107.SH,-1.6938
600105.SH,8.9557
600108.SH,0.5745
600109.SH,1.7133
600110.SH,-0.6598
600111.SH,1.9011
600113.SH,1.0418
600115.SH,-2.4943
600114.SH,9.1744
600116.SH,-0.0392
600117.SH,-3.321
600118.SH,-0.3809
600119.SH,-4.8273
600120.SH,1.027
600121.SH,-3.2488
600127.SH,1.3635
600126.SH,-0.1805
600123.SH,0.2085
600128.SH,0.1587
600125.SH,2.7461
600129.SH,2.1122
600130.SH,0.2156
600135.SH,-1.1645
600131.SH,0.3865
600133.SH,-0.0309
600137.SH,1.7065
600136.SH,2.0981
600132.SH,33.2576
600138.SH,-0.5359
600141.SH,1.4308
600143.SH,1.3608
600149.SH,2.9852
600148.SH,-0.0895
600150.SH,2.1896
600152.SH,-0.9412
600151.SH,-0.2302
600153.SH,0.8186
600155.SH,-0.2006
600156.SH,-3.0631
600158.SH,-1.0574
600157.SH,0.1082
600159.SH,-0.0507
600160.SH,4.4429
600161.SH,2.1681
600162.SH,-0.3856
600163.SH,3.6422
600165.SH,-161.1778
600167.SH,5.5703
600166.SH,3.0005
600168.SH,0.5867
600169.SH,0.4169
600170.SH,-0.3916
600171.SH,0.8668
600172.SH,-11.7366
600177.SH,1.9442
600173.SH,2.148
600178.SH,0.1538
600179.SH,2.2166
600176.SH,2.4023
600180.SH,0.4318
