ts_code,amihud
002294.SZ,3.3627871873522054e-15
002293.SZ,2.3661506974580545e-14
002295.SZ,6.695472469801652e-14
002298.SZ,3.902245705918782e-14
002297.SZ,4.3960646021549635e-14
002296.SZ,4.797208828905137e-14
002299.SZ,8.988102863724721e-15
002300.SZ,4.242774640413622e-14
002301.SZ,3.7283959213757816e-14
002302.SZ,2.3040415009690945e-14
002303.SZ,2.958514917266676e-14
002306.SZ,1.3599847796328668e-13
002305.SZ,3.723754495089562e-14
002304.SZ,1.6733414281191527e-15
002307.SZ,3.8121074156812593e-14
002309.SZ,2.157474015616219e-14
002310.SZ,1.6117066449120484e-14
002311.SZ,1.7239411413537961e-15
002312.SZ,1.1293073206843946e-14
002316.SZ,1.121789558605447e-13
002314.SZ,2.5978667050767797e-14
002313.SZ,4.0541788587800944e-14
002317.SZ,1.1306869857008822e-14
002315.SZ,1.45034344262796e-14
002319.SZ,7.776970006359432e-14
002318.SZ,8.724313511585889e-15
002320.SZ,1.1721841104468485e-14
002322.SZ,4.097003026226175e-14
002321.SZ,3.537620399058666e-14
002324.SZ,1.3151146162049935e-14
002323.SZ,6.743196953647845e-14
002326.SZ,1.8981806890725357e-14
002327.SZ,2.7677182185285076e-14
002328.SZ,4.036812201128766e-14
002329.SZ,7.22406222401571e-14
002330.SZ,6.342279823106878e-14
002332.SZ,1.8363107963338913e-14
002331.SZ,6.510885070355508e-14
002333.SZ,5.2723173255730774e-14
002334.SZ,3.118431193007565e-14
002335.SZ,1.1111460917730147e-14
002337.SZ,5.734782329009549e-14
002340.SZ,6.046289195968981e-15
002342.SZ,2.7897273789714278e-14
002338.SZ,1.9371563995510942e-14
002339.SZ,5.185128037911397e-14
002343.SZ,5.846685813907423e-14
002344.SZ,2.928306152392228e-14
002346.SZ,2.928426192714442e-14
002345.SZ,1.2520867011195203e-14
002350.SZ,5.3984655045661594e-14
002348.SZ,6.052998621284746e-14
002349.SZ,3.266280711643587e-14
002351.SZ,1.9843231586210373e-14
002347.SZ,5.5760229193197056e-14
002352.SZ,7.525741006716979e-16
002353.SZ,4.3869720898620424e-15
002356.SZ,5.586276278241991e-14
002354.SZ,2.0414865097477876e-14
002355.SZ,5.408027649908209e-14
002357.SZ,6.295878705547332e-14
002358.SZ,4.114883094735367e-14
002360.SZ,8.882010776474185e-14
002361.SZ,2.836105325795305e-14
002362.SZ,3.981492437831809e-14
002363.SZ,5.83042918291399e-14
002364.SZ,2.3407449121760715e-14
002366.SZ,1.4169507093190972e-14
002367.SZ,2.894547994057076e-14
002368.SZ,1.4575118895122906e-14
002365.SZ,3.4566556886785636e-14
002369.SZ,4.7268079168019404e-14
002370.SZ,4.267792962441307e-14
002371.SZ,9.946556512894029e-16
002373.SZ,1.2129212540508076e-14
