ts_code,revenue_growth
600340.SH,-11.7336
600343.SH,-1.0463
600346.SH,-2.3401
600348.SH,-5.5315
600350.SH,-1.3483
600351.SH,-20.316
600352.SH,-7.2124
600353.SH,-11.3821
600354.SH,34.1497
600355.SH,-35.9106
600356.SH,26.801
600358.SH,-29.1562
600359.SH,-5.3067
600360.SH,29.5614
600362.SH,-8.9017
600361.SH,7.7912
600363.SH,11.5424
600365.SH,-19.8648
600366.SH,9.3574
600367.SH,8.1461
600368.SH,2.9795
600370.SH,-18.8799
600369.SH,5.0991
600372.SH,-16.263
600371.SH,-21.8736
600373.SH,-25.3103
600375.SH,43.9276
600376.SH,12.3397
600377.SH,37.6615
600378.SH,10.9593
600379.SH,-20.5407
600380.SH,-5.7729
600381.SH,-1.1128
600382.SH,36.5117
600386.SH,-14.0891
600383.SH,-14.2906
600392.SH,3.6576
600389.SH,10.1528
600395.SH,27.3318
600391.SH,-6.7874
600388.SH,-13.6879
600390.SH,134.7488
600396.SH,-1.3043
600397.SH,-28.2584
600405.SH,-27.8559
600398.SH,0.1602
600399.SH,-15.2502
600400.SH,-14.7804
600403.SH,-23.6339
600783.SH,31.496
600782.SH,-22.5372
600785.SH,-1.5672
600784.SH,0.0958
600790.SH,-5.3322
600787.SH,-5.0107
600789.SH,-6.9512
600791.SH,85.4848
600792.SH,-31.3115
600793.SH,9.5054
600794.SH,-20.0876
600795.SH,-12.6053
600797.SH,-16.4818
600796.SH,1.0288
600798.SH,-13.5367
600800.SH,-35.7676
600801.SH,1.1017
600802.SH,5.3958
600803.SH,-1.403
600805.SH,-11.8746
600807.SH,57.8097
600808.SH,-4.7408
600810.SH,-6.21
600809.SH,7.7229
600812.SH,0.6546
600814.SH,-6.213
600815.SH,-5.4916
600818.SH,24.5365
600816.SH,
600817.SH,0.7911
600819.SH,-5.4043
600820.SH,-25.3344
600821.SH,1.2049
600822.SH,-45.2136
600824.SH,-28.2955
600825.SH,6.7263
600826.SH,30.9821
600827.SH,-14.0029
600828.SH,-22.1247
600829.SH,3.2856
600830.SH,39.185
600831.SH,-14.5319
600833.SH,9.0658
600834.SH,-8.6754
600835.SH,-2.3025
600838.SH,0.0202
600839.SH,12.8938
600841.SH,-24.9683
600843.SH,0.9577
600844.SH,17.9139
600845.SH,-25.1562
600847.SH,0.2237
600846.SH,-9.3914
600850.SH,0.3608
600848.SH,-17.1327
600851.SH,-3.0172
